date,max_temp,min_temp
2026-08-06,32.2,22.5
2026-08-07,32.4,21.6
2026-08-08,34.3,18.3
2026-08-09,35.2,19.7
2026-08-10,35.8,17.8
2026-08-11,33.8,18.3
2026-08-12,32.9,17.3
